Year,Team,Goal_Difference
19-20,Aston Villa,-26.0
19-20,Bournemouth,-25.0
19-20,Brighton,-15.0
19-20,Burnley,-7.0
19-20,Chelsea,15.0
19-20,Crystal Palace,-19.0
19-20,Everton,-12.0
19-20,Leicester,26.0
19-20,Liverpool,52.0
19-20,Man City,67.0
19-20,Man United,30.0
19-20,Newcastle,-20.0
19-20,Norwich,-49.0
19-20,Sheffield United,0.0
19-20,Southampton,-9.0
19-20,Tottenham,14.0
19-20,Watford,-28.0
19-20,West Ham,-13.0
19-20,Wolves,11.0
20-21,Arsenal,16.0
20-21,Aston Villa,9.0
20-21,Brighton,-6.0
20-21,Burnley,-22.0
20-21,Chelsea,22.0
20-21,Crystal Palace,-25.0
20-21,Everton,-1.0
20-21,Fulham,-26.0
20-21,Leeds,8.0
20-21,Leicester,18.0
20-21,Liverpool,26.0
20-21,Man City,51.0
20-21,Man United,29.0
20-21,Newcastle,-16.0
20-21,Sheffield United,-43.0
20-21,Southampton,-21.0
20-21,Tottenham,23.0
20-21,West Brom,-41.0
20-21,West Ham,15.0
20-21,Wolves,-16.0
21-22,Arsenal,13.0
21-22,Aston Villa,-2.0
21-22,Brentford,-8.0
21-22,Brighton,-2.0
21-22,Burnley,-19.0
21-22,Chelsea,43.0
21-22,Crystal Palace,4.0
21-22,Everton,-23.0
21-22,Leeds,-37.0
21-22,Leicester,3.0
21-22,Liverpool,68.0
21-22,Man City,73.0
21-22,Man United,0.0
21-22,Newcastle,-18.0
21-22,Norwich,-61.0
21-22,Southampton,-24.0
21-22,Tottenham,29.0
21-22,Watford,-43.0
21-22,West Ham,9.0
21-22,Wolves,-5.0
22-23,Arsenal,45.0
22-23,Aston Villa,5.0
22-23,Bournemouth,-34.0
22-23,Brentford,12.0
22-23,Brighton,19.0
22-23,Chelsea,-9.0
22-23,Crystal Palace,-9.0
22-23,Everton,-23.0
22-23,Fulham,2.0
22-23,Leeds,-30.0
22-23,Leicester,-17.0
22-23,Liverpool,28.0
22-23,Man City,61.0
22-23,Man United,15.0
22-23,Newcastle,35.0
22-23,Nott'm Forest,-30.0
22-23,Southampton,-37.0
22-23,Tottenham,7.0
22-23,West Ham,-13.0
22-23,Wolves,-27.0
23-24,Arsenal,57.0
23-24,Aston Villa,21.0
23-24,Bournemouth,-8.0
23-24,Brentford,-8.0
23-24,Brighton,-5.0
23-24,Burnley,-32.0
23-24,Chelsea,4.0
23-24,Crystal Palace,-12.0
23-24,Everton,-11.0
23-24,Fulham,-4.0
23-24,Liverpool,41.0
23-24,Luton,-29.0
23-24,Man City,50.0
23-24,Man United,1.0
23-24,Newcastle,19.0
23-24,Nott'm Forest,-20.0
23-24,Sheffield United,-63.0
23-24,Tottenham,15.0
23-24,West Ham,-9.0
23-24,Wolves,-7.0
