Division,Date,Time,Home_Team,Away_Team,Year,Full_Time_Home_Goals,Full_Time_Away_Goals,Full_Time_Result,Half_Time_Home_Goals,Half_Time_Away_Goals,Half_Time_Result,Referee,Home_Team_Shots,Away_Team_Shots,Home_Team_Shots_On_Target,Away_Team_Shots_On_Target,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Away_Team_Red_Cards,Winner,Result,Total_Goals_Scored,Goal_Difference_Home_Team,Goal_Difference_Away_Team,Unique_Key
E0,02/09/2023,15:00,Burnley,Tottenham,23-24,2.0,5.0,AWAY,1.0,2.0,A,D England,16.0,20.0,4.0,10.0,15.0,9.0,7.0,4.0,4.0,3.0,0.0,0.0,Tottenham,Away Team Win,7.0,-3.0,3.0,E0-02/09/2023-15:00-Burnley-Tottenham
E0,02/09/2023,15:00,Chelsea,Nott'm Forest,23-24,0.0,1.0,AWAY,0.0,0.0,D,T Robinson,21.0,7.0,2.0,3.0,10.0,9.0,8.0,0.0,3.0,4.0,0.0,0.0,Nott'm Forest,Away Team Win,1.0,-1.0,1.0,E0-02/09/2023-15:00-Chelsea-Nott'm Forest
E0,02/09/2023,15:00,Man City,Fulham,23-24,5.0,1.0,HOME,2.0,1.0,H,M Oliver,7.0,6.0,5.0,4.0,12.0,12.0,4.0,5.0,2.0,4.0,0.0,0.0,Man City,Home Team Win,6.0,4.0,-4.0,E0-02/09/2023-15:00-Man City-Fulham
E0,02/09/2023,17:30,Brighton,Newcastle,23-24,3.0,1.0,HOME,1.0,0.0,H,S Attwell,15.0,9.0,6.0,2.0,14.0,17.0,5.0,3.0,4.0,4.0,0.0,0.0,Brighton,Home Team Win,4.0,2.0,-2.0,E0-02/09/2023-17:30-Brighton-Newcastle
E0,03/09/2023,14:00,Crystal Palace,Wolves,23-24,3.0,2.0,HOME,0.0,0.0,D,R Jones,16.0,12.0,11.0,4.0,12.0,12.0,4.0,2.0,1.0,3.0,0.0,0.0,Crystal Palace,Home Team Win,5.0,1.0,-1.0,E0-03/09/2023-14:00-Crystal Palace-Wolves
E0,03/09/2023,14:00,Liverpool,Aston Villa,23-24,3.0,0.0,HOME,2.0,0.0,H,S Hooper,17.0,9.0,4.0,3.0,12.0,7.0,7.0,3.0,0.0,1.0,0.0,0.0,Liverpool,Home Team Win,3.0,3.0,-3.0,E0-03/09/2023-14:00-Liverpool-Aston Villa
E0,03/09/2023,16:30,Arsenal,Man United,23-24,3.0,1.0,HOME,1.0,1.0,D,A Taylor,17.0,10.0,5.0,2.0,8.0,7.0,12.0,3.0,2.0,3.0,0.0,0.0,Arsenal,Home Team Win,4.0,2.0,-2.0,E0-03/09/2023-16:30-Arsenal-Man United
E0,16/09/2023,12:30,Wolves,Liverpool,23-24,1.0,3.0,AWAY,1.0,0.0,H,M Oliver,11.0,16.0,2.0,6.0,10.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,Liverpool,Away Team Win,4.0,-2.0,2.0,E0-16/09/2023-12:30-Wolves-Liverpool
E0,16/09/2023,15:00,Aston Villa,Crystal Palace,23-24,3.0,1.0,HOME,0.0,0.0,D,D England,16.0,6.0,5.0,3.0,13.0,9.0,4.0,2.0,5.0,3.0,0.0,0.0,Aston Villa,Home Team Win,4.0,2.0,-2.0,E0-16/09/2023-15:00-Aston Villa-Crystal Palace
E0,16/09/2023,15:00,Fulham,Luton,23-24,1.0,0.0,HOME,0.0,0.0,D,M Salisbury,13.0,7.0,2.0,2.0,6.0,14.0,6.0,2.0,2.0,2.0,0.0,0.0,Fulham,Home Team Win,1.0,1.0,-1.0,E0-16/09/2023-15:00-Fulham-Luton
E0,16/09/2023,15:00,Man United,Brighton,23-24,1.0,3.0,AWAY,0.0,1.0,A,J Gillett,14.0,10.0,4.0,8.0,8.0,9.0,8.0,1.0,2.0,2.0,0.0,0.0,Brighton,Away Team Win,4.0,-2.0,2.0,E0-16/09/2023-15:00-Man United-Brighton
E0,16/09/2023,15:00,Tottenham,Sheffield United,23-24,2.0,1.0,HOME,0.0,0.0,D,P Bankes,28.0,7.0,10.0,5.0,13.0,14.0,15.0,2.0,6.0,5.0,0.0,1.0,Tottenham,Home Team Win,3.0,1.0,-1.0,E0-16/09/2023-15:00-Tottenham-Sheffield United
E0,16/09/2023,15:00,West Ham,Man City,23-24,1.0,3.0,AWAY,1.0,0.0,H,A Madley,6.0,29.0,3.0,15.0,7.0,11.0,4.0,11.0,3.0,2.0,0.0,0.0,Man City,Away Team Win,4.0,-2.0,2.0,E0-16/09/2023-15:00-West Ham-Man City
E0,16/09/2023,17:30,Newcastle,Brentford,23-24,1.0,0.0,HOME,0.0,0.0,D,C Pawson,9.0,11.0,2.0,2.0,8.0,12.0,8.0,3.0,3.0,5.0,0.0,0.0,Newcastle,Home Team Win,1.0,1.0,-1.0,E0-16/09/2023-17:30-Newcastle-Brentford
E0,17/09/2023,14:00,Bournemouth,Chelsea,23-24,0.0,0.0,DRAW,0.0,0.0,D,D Coote,13.0,14.0,4.0,6.0,15.0,20.0,1.0,7.0,1.0,5.0,0.0,0.0,Draw,Draw,0.0,0.0,0.0,E0-17/09/2023-14:00-Bournemouth-Chelsea
E0,17/09/2023,16:30,Everton,Arsenal,23-24,0.0,1.0,AWAY,0.0,0.0,D,S Hooper,8.0,13.0,1.0,4.0,12.0,10.0,1.0,11.0,1.0,1.0,0.0,0.0,Arsenal,Away Team Win,1.0,-1.0,1.0,E0-17/09/2023-16:30-Everton-Arsenal
E0,18/09/2023,19:45,Nott'm Forest,Burnley,23-24,1.0,1.0,DRAW,0.0,1.0,A,R Jones,14.0,10.0,4.0,3.0,16.0,10.0,5.0,4.0,2.0,3.0,0.0,1.0,Draw,Draw,2.0,0.0,0.0,E0-18/09/2023-19:45-Nott'm Forest-Burnley
E0,23/09/2023,15:00,Crystal Palace,Fulham,23-24,0.0,0.0,DRAW,0.0,0.0,D,P Tierney,7.0,10.0,3.0,5.0,10.0,15.0,3.0,2.0,3.0,2.0,0.0,0.0,Draw,Draw,0.0,0.0,0.0,E0-23/09/2023-15:00-Crystal Palace-Fulham
E0,23/09/2023,15:00,Luton,Wolves,23-24,1.0,1.0,DRAW,0.0,0.0,D,J Smith,20.0,3.0,4.0,3.0,12.0,17.0,10.0,1.0,0.0,2.0,0.0,1.0,Draw,Draw,2.0,0.0,0.0,E0-23/09/2023-15:00-Luton-Wolves
E0,23/09/2023,15:00,Man City,Nott'm Forest,23-24,2.0,0.0,HOME,2.0,0.0,H,A Taylor,7.0,10.0,4.0,3.0,5.0,17.0,6.0,6.0,3.0,7.0,1.0,0.0,Man City,Home Team Win,2.0,2.0,-2.0,E0-23/09/2023-15:00-Man City-Nott'm Forest
E0,23/09/2023,17:30,Brentford,Everton,23-24,1.0,3.0,AWAY,1.0,1.0,D,M Oliver,12.0,18.0,2.0,6.0,9.0,12.0,1.0,4.0,2.0,2.0,0.0,0.0,Everton,Away Team Win,4.0,-2.0,2.0,E0-23/09/2023-17:30-Brentford-Everton
E0,23/09/2023,20:00,Burnley,Man United,23-24,0.0,1.0,AWAY,0.0,1.0,A,T Harrington,12.0,11.0,4.0,4.0,6.0,12.0,9.0,5.0,1.0,2.0,0.0,0.0,Man United,Away Team Win,1.0,-1.0,1.0,E0-23/09/2023-20:00-Burnley-Man United
E0,24/09/2023,14:00,Arsenal,Tottenham,23-24,2.0,2.0,DRAW,1.0,1.0,D,R Jones,13.0,13.0,6.0,5.0,12.0,19.0,11.0,4.0,3.0,4.0,0.0,0.0,Draw,Draw,4.0,0.0,0.0,E0-24/09/2023-14:00-Arsenal-Tottenham
E0,24/09/2023,14:00,Brighton,Bournemouth,23-24,3.0,1.0,HOME,1.0,1.0,D,J Brooks,13.0,12.0,4.0,4.0,12.0,17.0,4.0,4.0,3.0,3.0,0.0,0.0,Brighton,Home Team Win,4.0,2.0,-2.0,E0-24/09/2023-14:00-Brighton-Bournemouth
