Year,Team,Result,Losses
19-20,West Ham,Away Team Win,9
19-20,Wolves,Away Team Win,4
20-21,Arsenal,Away Team Win,7
20-21,Aston Villa,Away Team Win,8
20-21,Brighton,Away Team Win,6
20-21,Burnley,Away Team Win,9
20-21,Chelsea,Away Team Win,4
20-21,Crystal Palace,Away Team Win,8
20-21,Everton,Away Team Win,9
20-21,Fulham,Away Team Win,13
20-21,Leeds,Away Team Win,6
20-21,Leicester,Away Team Win,9
20-21,Liverpool,Away Team Win,6
20-21,Man City,Away Team Win,4
20-21,Man United,Away Team Win,6
20-21,Newcastle,Away Team Win,8
20-21,Sheffield United,Away Team Win,13
20-21,Southampton,Away Team Win,8
20-21,Tottenham,Away Team Win,6
20-21,West Brom,Away Team Win,10
20-21,West Ham,Away Team Win,5
20-21,Wolves,Away Team Win,8
21-22,Arsenal,Away Team Win,4
21-22,Aston Villa,Away Team Win,8
21-22,Brentford,Away Team Win,9
21-22,Brighton,Away Team Win,7
21-22,Burnley,Away Team Win,8
21-22,Chelsea,Away Team Win,3
21-22,Crystal Palace,Away Team Win,4
21-22,Everton,Away Team Win,8
21-22,Leeds,Away Team Win,9
21-22,Leicester,Away Team Win,5
21-22,Man City,Away Team Win,2
21-22,Man United,Away Team Win,4
21-22,Newcastle,Away Team Win,5
21-22,Norwich,Away Team Win,13
21-22,Southampton,Away Team Win,6
21-22,Tottenham,Away Team Win,5
21-22,Watford,Away Team Win,15
21-22,West Ham,Away Team Win,5
21-22,Wolves,Away Team Win,9
22-23,Arsenal,Away Team Win,2
22-23,Aston Villa,Away Team Win,5
22-23,Bournemouth,Away Team Win,9
22-23,Brentford,Away Team Win,2
22-23,Brighton,Away Team Win,5
22-23,Chelsea,Away Team Win,6
22-23,Crystal Palace,Away Team Win,5
22-23,Everton,Away Team Win,10
22-23,Fulham,Away Team Win,6
22-23,Leeds,Away Team Win,7
22-23,Leicester,Away Team Win,10
22-23,Liverpool,Away Team Win,1
22-23,Man City,Away Team Win,1
22-23,Man United,Away Team Win,1
22-23,Newcastle,Away Team Win,2
22-23,Nott'm Forest,Away Team Win,5
22-23,Southampton,Away Team Win,12
22-23,Tottenham,Away Team Win,6
22-23,West Ham,Away Team Win,7
22-23,Wolves,Away Team Win,7
23-24,Arsenal,Away Team Win,2
23-24,Aston Villa,Away Team Win,3
23-24,Bournemouth,Away Team Win,5
23-24,Brentford,Away Team Win,6
23-24,Brighton,Away Team Win,3
23-24,Burnley,Away Team Win,12
23-24,Chelsea,Away Team Win,4
23-24,Crystal Palace,Away Team Win,7
23-24,Everton,Away Team Win,7
23-24,Fulham,Away Team Win,7
23-24,Liverpool,Away Team Win,1
23-24,Luton,Away Team Win,10
23-24,Man United,Away Team Win,5
23-24,Newcastle,Away Team Win,3
23-24,Nott'm Forest,Away Team Win,8
23-24,Sheffield United,Away Team Win,12
23-24,Tottenham,Away Team Win,5
23-24,West Ham,Away Team Win,4
23-24,Wolves,Away Team Win,7
